"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 10, 2018","1,056.93","1,084.36","1,092.23","1,056.93","-","-3.68%"
"Aug 09, 2018","1,097.33","1,096.72","1,098.80","1,073.15","-","-1.48%"
"Aug 08, 2018","1,113.78","1,145.28","1,146.53","1,110.52","-","-2.91%"
"Aug 07, 2018","1,147.16","1,138.45","1,152.10","1,137.32","-","0.75%"
"Aug 06, 2018","1,138.57","1,142.74","1,146.54","1,131.83","-","-0.57%"
"Aug 03, 2018","1,145.08","1,140.32","1,145.08","1,129.51","-","0.36%"
"Aug 02, 2018","1,140.96","1,155.29","1,158.36","1,134.84","-","-1.65%"
"Aug 01, 2018","1,160.09","1,168.12","1,170.02","1,157.70","-","-1.11%"
"Jul 31, 2018","1,173.06","1,159.23","1,173.06","1,156.40","-","0.92%"
"Jul 30, 2018","1,162.42","1,147.92","1,162.42","1,141.03","-","0.93%"
"Jul 27, 2018","1,151.74","1,147.86","1,151.74","1,137.91","-","0.26%"
"Jul 26, 2018","1,148.79","1,147.25","1,153.12","1,141.50","-","0.62%"
"Jul 25, 2018","1,141.70","1,128.58","1,143.36","1,124.58","-","-0.18%"
"Jul 24, 2018","1,143.81","1,131.03","1,146.27","1,130.80","-","1.23%"
"Jul 23, 2018","1,129.92","1,116.33","1,134.39","1,116.33","-","1.38%"
"Jul 20, 2018","1,114.59","1,123.21","1,129.95","1,112.63","-","-0.88%"
"Jul 19, 2018","1,124.43","1,149.26","1,149.26","1,120.30","-","-1.77%"
"Jul 18, 2018","1,144.72","1,154.65","1,157.23","1,138.99","-","-1.75%"
"Jul 17, 2018","1,165.14","1,175.35","1,175.35","1,155.29","-","-1.31%"
"Jul 16, 2018","1,180.64","1,179.92","1,191.76","1,172.81","-","-0.73%"
"Jul 13, 2018","1,189.35","1,177.16","1,189.35","1,175.54","-","1.01%"
"Jul 12, 2018","1,177.50","1,178.24","1,183.45","1,169.76","-","-0.75%"
"Jul 11, 2018","1,186.36","1,202.08","1,202.08","1,180.41","-","-1.34%"
"Jul 10, 2018","1,202.42","1,193.79","1,202.42","1,190.33","-","0.78%"
"Jul 09, 2018","1,193.17","1,176.52","1,194.75","1,176.52","-","1.68%"
"Jul 06, 2018","1,173.47","1,169.25","1,176.62","1,156.67","-","0.16%"
"Jul 05, 2018","1,171.64","1,145.68","1,171.64","1,143.34","-","2.10%"
"Jul 04, 2018","1,147.53","1,148.61","1,151.91","1,144.28","-","0.01%"
"Jul 03, 2018","1,147.47","1,151.91","1,155.87","1,143.31","-","-0.36%"
"Jul 02, 2018","1,151.66","1,151.98","1,162.59","1,141.21","-","-0.22%"
"Jun 29, 2018","1,154.16","1,134.74","1,154.16","1,134.47","-","2.58%"
"Jun 28, 2018","1,125.13","1,123.54","1,129.77","1,117.58","-","0.03%"
"Jun 27, 2018","1,124.84","1,119.42","1,133.61","1,106.25","-","1.01%"
"Jun 26, 2018","1,113.60","1,123.13","1,130.49","1,111.04","-","-0.59%"
"Jun 25, 2018","1,120.23","1,119.36","1,129.56","1,118.66","-","-0.46%"
"Jun 22, 2018","1,125.41","1,113.08","1,131.73","1,113.08","-","1.32%"
"Jun 21, 2018","1,110.79","1,115.63","1,121.07","1,108.36","-","-0.75%"
"Jun 20, 2018","1,119.21","1,098.10","1,121.99","1,098.10","-","2.03%"
"Jun 19, 2018","1,096.92","1,100.54","1,101.36","1,077.52","-","-0.34%"
"Jun 18, 2018","1,100.63","1,114.01","1,115.09","1,098.97","-","-1.47%"
"Jun 15, 2018","1,117.04","1,134.17","1,137.68","1,115.03","-","-2.10%"
"Jun 14, 2018","1,140.97","1,143.54","1,148.86","1,138.01","-","-0.58%"
"Jun 13, 2018","1,147.57","1,141.27","1,149.83","1,134.85","-","0.49%"
"Jun 11, 2018","1,142.02","1,150.77","1,157.75","1,140.50","-","-0.62%"
"Jun 09, 2018","1,149.19","1,146.97","1,153.10","1,146.97","-","0.55%"
"Jun 08, 2018","1,142.90","1,167.36","1,167.45","1,141.65","-","-2.42%"
"Jun 07, 2018","1,171.22","1,182.02","1,186.63","1,171.22","-","-0.55%"
"Jun 06, 2018","1,177.73","1,175.69","1,179.26","1,168.81","-","0.42%"
"Jun 05, 2018","1,172.77","1,179.01","1,185.20","1,168.42","-","-0.59%"
"Jun 04, 2018","1,179.78","1,164.68","1,183.01","1,164.68","-","1.32%"
"Jun 01, 2018","1,164.37","1,159.63","1,173.53","1,159.26","-","0.12%"
"May 31, 2018","1,162.98","1,168.86","1,175.94","1,158.15","-","0.00%"
"May 30, 2018","1,162.96","1,152.67","1,168.27","1,151.11","-","0.70%"
"May 29, 2018","1,154.90","1,170.15","1,171.05","1,146.31","-","-1.05%"
"May 28, 2018","1,167.21","1,166.58","1,170.27","1,163.98","-","-0.23%"
"May 25, 2018","1,169.93","1,174.95","1,184.26","1,164.63","-","-0.32%"
"May 24, 2018","1,173.63","1,180.36","1,184.78","1,171.72","-","-0.09%"
"May 23, 2018","1,174.71","1,192.38","1,193.33","1,173.74","-","-2.27%"
"May 22, 2018","1,202.04","1,193.52","1,202.04","1,189.67","-","0.85%"
"May 21, 2018","1,191.86","1,178.00","1,193.83","1,174.86","-","1.60%"
"May 18, 2018","1,173.14","1,177.37","1,185.82","1,170.91","-","-0.72%"
"May 17, 2018","1,181.61","1,195.42","1,196.45","1,181.61","-","-0.69%"
"May 16, 2018","1,189.77","1,180.95","1,190.87","1,175.96","-","0.93%"
"May 15, 2018","1,178.76","1,198.64","1,198.64","1,171.48","-","-1.98%"
"May 14, 2018","1,202.56","1,193.53","1,203.99","1,185.94","-","0.72%"
"May 11, 2018","1,193.98","1,183.11","1,200.21","1,181.58","-","1.22%"
"May 10, 2018","1,179.63","1,153.96","1,182.14","1,153.96","-","3.28%"
"May 08, 2018","1,142.13","1,147.81","1,147.81","1,131.77","-","-1.02%"
"May 07, 2018","1,153.85","1,155.49","1,161.25","1,147.62","-","0.63%"
"May 04, 2018","1,146.61","1,138.98","1,150.44","1,135.83","-","1.63%"
"May 03, 2018","1,128.22","1,133.50","1,150.36","1,128.22","-","-0.73%"
"May 02, 2018","1,136.56","1,153.31","1,154.21","1,133.40","-","-1.51%"
"Apr 30, 2018","1,153.96","1,161.71","1,169.51","1,150.81","-","-0.87%"
"Apr 28, 2018","1,164.09","1,166.30","1,166.30","1,160.07","-","-0.26%"
"Apr 27, 2018","1,167.12","1,149.15","1,167.23","1,146.25","-","1.77%"
"Apr 26, 2018","1,146.85","1,138.10","1,149.97","1,131.00","-","0.81%"
"Apr 25, 2018","1,137.62","1,147.80","1,149.29","1,132.62","-","-1.40%"
"Apr 24, 2018","1,153.83","1,151.97","1,161.14","1,148.76","-","0.80%"
"Apr 23, 2018","1,144.66","1,145.36","1,147.52","1,122.01","-","-0.10%"
"Apr 20, 2018","1,145.80","1,154.58","1,154.58","1,139.60","-","-0.68%"
"Apr 19, 2018","1,153.59","1,164.12","1,176.66","1,147.98","-","-0.08%"
"Apr 18, 2018","1,154.55","1,123.17","1,154.55","1,117.99","-","2.95%"
"Apr 17, 2018","1,121.48","1,119.77","1,129.82","1,105.46","-","3.35%"
"Apr 16, 2018","1,085.16","1,095.34","1,104.02","1,081.73","-","-1.75%"
"Apr 13, 2018","1,104.51","1,122.86","1,137.01","1,098.50","-","-1.83%"
"Apr 12, 2018","1,125.09","1,110.90","1,135.62","1,106.06","-","3.84%"
"Apr 11, 2018","1,083.53","1,085.64","1,097.25","1,047.62","-","-0.67%"
"Apr 10, 2018","1,090.79","1,085.93","1,111.43","1,042.82","-","-0.38%"
"Apr 09, 2018","1,094.98","1,230.82","1,230.82","1,081.28","-","-11.44%"
"Apr 06, 2018","1,236.48","1,248.24","1,250.60","1,233.93","-","-1.36%"
"Apr 05, 2018","1,253.47","1,244.96","1,255.20","1,243.29","-","1.05%"
"Apr 04, 2018","1,240.39","1,239.15","1,241.58","1,224.57","-","0.27%"
"Apr 03, 2018","1,237.06","1,238.14","1,240.89","1,228.78","-","0.24%"
"Apr 02, 2018","1,234.06","1,252.44","1,259.59","1,234.06","-","-1.23%"
